yyyyMMdd,Net sales,Total orders,Total guests
20220105,7662.53,137,249
20220106,9228.37,150,272
20220107,13157.69,159,334
20220108,24811.93,250,648
20220109,13058.74,188,458
20220110,6713.71,125,217
20220111,6959.81,122,214
20220112,7223.50,124,219
20220113,10909.73,137,280
20220114,17082.38,191,393
20220115,29677.39,293,781
20220116,10915.16,159,378
20220117,9253.39,148,309
20220118,8442.41,118,241
20220119,8245.82,130,244
20220120,9124.79,148,284
20220121,18402.77,208,436
20220122,26054.32,266,657
20220123,15103.70,195,515
20220124,5574.18,107,181
20220125,8373.20,139,266
20220126,8197.92,147,283
20220127,9100.04,159,273
20220128,21324.78,228,522
20220129,25194.68,294,690
20220130,15149.69,211,538
20220131,7065.39,134,253
20220201,6932.88,129,244
20220202,11114.36,167,332
20220203,9590.70,144,293
20220204,21202.93,225,506
20220205,32499.09,322,835
20220206,16896.85,228,552
20220207,9316.20,158,307
20220208,12118.20,176,340
20220209,11013.56,147,339
20220210,10737.51,167,319
20220211,19468.65,243,522
20220212,38830.80,393,950
20220213,18206.34,248,592
20220214,30663.75,321,625
20220215,12941.69,174,360
20220216,9161.39,129,253
20220217,9289.52,126,258
20220218,20583.12,217,482
20220219,36059.36,345,893
20220220,18200.02,243,614
20220221,11835.33,183,365
20220222,10694.06,152,311
20220223,10902.13,179,330
20220224,14030.54,172,405
20220225,22248.14,235,530
20220226,32085.69,322,814
20220227,18677.74,251,646
20220228,8067.56,146,264
20220301,9397.96,145,283
20220302,11479.93,157,331
20220303,11593.90,163,323
20220304,21205.99,213,523
20220305,32721.19,304,787
20220306,17664.88,227,591
20220307,7626.64,110,220
20220308,8913.71,145,288
20220309,8873.55,145,289
20220310,11728.81,163,347
20220311,16540.77,214,446
20220312,23696.72,252,614
20220313,16398.97,210,540
20220314,10163.58,160,345
20220315,12447.92,161,372
20220316,11499.57,189,393
20220317,12670.77,172,357
20220318,21370.78,224,495
20220319,31650.07,317,837
20220320,18350.47,244,613
20220321,11522.13,174,343
20220322,8137.65,141,275
20220323,10548.49,158,334
20220324,12608.48,161,360
20220325,20977.12,218,517
20220326,29365.95,305,754
20220327,16786.71,229,577
20220328,8940.12,163,300
20220329,9483.59,148,274
20220330,14951.77,189,422
20220331,13420.30,168,353
20220401,18320.16,220,470
20220402,25264.89,271,674
20220403,16522.91,219,548
20220404,6675.26,118,207
20220405,10100.02,163,321
20220406,10315.92,155,496
20220407,12489.10,172,349
20220408,16825.44,182,419
20220409,29995.23,325,997
20220410,16180.16,228,546
20220411,8849.27,131,285
20220412,8435.01,160,291
20220413,9051.66,135,286
20220414,11555.18,191,357
20220415,18743.75,209,480
20220416,29327.86,309,735
20220417,18877.53,202,582
20220418,9473.65,145,291
20220419,9620.28,167,309
20220420,9785.77,155,302
20220421,9812.16,148,304
20220422,19909.95,212,482
20220423,28003.41,280,711
20220424,15617.76,214,538
20220425,9816.10,141,297
20220426,8821.52,170,304
20220427,8409.19,125,286
20220428,10570.59,170,332
20220429,17860.41,230,471
20220430,27091.00,303,771
20220501,16068.57,209,534
20220502,8382.40,147,286
20220503,7159.85,134,231
20220504,6861.83,142,247
20220505,8033.23,149,285
20220506,17716.79,239,547
20220507,32255.63,335,881
20220508,19015.38,236,635
20220509,9097.71,129,255
20220510,8618.25,144,280
20220511,7355.80,132,267
20220512,10794.14,156,330
20220513,18462.07,217,443
20220514,27927.90,283,718
20220515,15766.66,211,561
20220516,5569.17,122,223
20220517,6726.84,135,244
20220518,8957.93,146,282
20220519,11580.90,181,351
20220520,19239.85,214,503
20220521,28209.17,291,757
20220522,15105.63,203,511
20220523,8931.44,102,244
20220524,6395.31,137,244
20220525,7678.89,135,246
20220526,11366.13,158,341
20220527,14605.43,187,374
20220528,28000.60,298,753
20220529,16999.94,224,556
20220530,11874.51,167,383
20220531,5704.75,116,198
20220601,5868.16,104,200
20220602,7373.11,132,246
20220603,12052.20,175,343
20220604,20104.65,246,606
20220605,14043.46,195,489
20220606,8040.60,134,262
20220607,6510.62,135,244
20220608,9344.48,133,269
20220609,10767.89,169,327
20220610,15909.96,207,429
20220611,13684.15,254,491
20220612,15326.17,206,533
20220613,6449.83,127,224
20220614,7177.57,143,271
20220615,7397.86,145,265
20220616,8473.20,163,303
20220617,13231.16,184,352
20220618,21610.23,254,616
20220619,16540.23,215,578
20220620,9145.02,148,286
20220621,6522.66,132,239
20220622,7144.20,151,263
20220623,11133.90,175,346
20220624,14195.29,199,414
20220625,26712.43,296,758
20220626,15220.76,202,522
20220627,7172.40,122,232
20220628,7846.00,138,272
20220629,7938.53,146,274
20220630,7908.06,156,275
20220701,13790.74,186,396
20220702,22464.89,243,621
20220703,14714.29,201,500
20220704,11637.64,142,346
20220705,6872.69,104,223
20220706,7721.56,138,282
20220707,7140.76,137,241
20220708,13430.28,162,336
20220709,20426.70,239,594
20220710,14189.08,193,497
20220711,6960.28,141,253
20220712,8660.20,133,284
20220713,7260.19,130,266
20220714,10502.35,165,311
20220715,15867.99,193,428
20220716,22090.90,264,606
20220717,15174.09,206,516
20220718,6412.61,116,223
20220719,7993.97,143,274
20220720,7921.85,133,253
20220721,8963.39,159,278
20220722,15702.58,207,426
20220723,26287.48,266,706
20220724,15055.41,206,520
20220725,8103.64,131,263
20220726,7570.97,141,253
20220727,9794.81,157,306
20220728,10741.66,149,299
20220729,14934.45,190,377
20220730,26705.45,276,737
20220731,15859.39,233,559
20220801,5853.93,108,203
20220802,7121.90,135,256
20220803,10368.51,174,331
20220804,8200.57,147,279
20220805,14367.69,181,374
20220806,24375.21,266,700
20220807,15896.15,208,534
20220808,8305.88,149,287
20220809,8744.43,153,294
20220810,11841.56,162,361
20220811,7723.82,147,264
20220812,16094.61,217,419
20220813,22687.60,251,639
20220814,14661.59,204,515
20220815,9049.27,134,253
20220816,8430.10,166,294
20220817,8765.48,144,309
20220818,9072.88,170,328
20220819,12608.74,194,368
20220820,24832.64,299,733
20220821,14534.49,224,521
20220822,7831.13,139,247
20220823,8407.33,143,280
20220824,8000.46,136,263
20220825,11671.57,177,343
20220826,15505.48,196,421
20220827,28241.19,291,747
20220828,15600.66,221,529
20220829,6968.65,134,225
20220830,6610.69,137,242
20220831,6394.01,118,217
20220901,7790.74,151,261
20220902,14970.12,196,433
20220903,26801.76,296,766
20220904,16081.13,216,550
20220905,14828.72,179,458
20220906,4996.32,107,186
20220907,8413.88,143,290
20220908,7130.75,133,265
20220909,14075.56,178,370
20220910,20890.87,232,579
20220911,13746.35,192,482
20220912,7737.30,134,247
20220913,6111.00,155,247
20220914,8242.42,150,285
20220915,6380.52,123,213
20220916,12793.24,89,169
20220917,24159.68,,
20220918,14907.14,,
20220919,6782.33,,
20220920,8475.93,,
20220921,6984.17,,
20220922,6653.53,,
20220923,963.15,,
20260407,8853.00,160,314
20260408,93.75,11,11
